study	query_original_total	uniq_HERVH_intersects	uniq_query_intersects	total_intersects
tonekaboni_et_al/h7_COREs	7597	70	69	70
tonekaboni_et_al/h1_COREs	3929	36	34	36
jiang_et_al/TE_hg38	6622856	2058	36078	37192
ENdb_enhancer_hg38	408	7	6	7
kunarso_et_al/CTCF_hg38	87856	33	49	49
kunarso_et_al/NANOG_hg38	88339	695	936	937
kunarso_et_al/OCT4_hg38	29711	187	256	257
lu_et_al/lu_coordinates_hg38	128	128	128	128
zhang_et_al/zhang_et_al_labs_hg38	1314	1265	1313	1347
wang_et_al/wang_coordinates_hg38	1222	1261	1221	1274
wang_et_al_HACER/GROseq-H1_ESCs-GSE64758_hg38	1946	465	443	468
wang_et_al_HACER/GROseq-H1_ESCs-GSE61393_hg38	15	4	4	4
wang_et_al_HACER/GROseq-H1_ESCs-GSE41009_hg38	15768	1030	993	1048
wang_et_al_HACER/GROseq-H1_ESCs-E-MTAB-742_hg38	218	90	87	93
jiang_et_al/SE_hg38	330789	1034	509	8319
barakat_et_al/Super-enhancers_primed_hg38	1366	120	107	120
barakat_et_al/Super-enhancers_naive_hg38	1154	142	121	142
barakat_et_al/ChIP-STARR-seq_enhancers_naive_hg38	359341	1600	1	4909
barakat_et_al/ChIP-STARR-seq_enhancers_primed_hg38	361189	1606	1	4940
